Features/Textures,diagonal,honeylarge,honeymedium,honeysmall,horizontal,sinusoidal,square,star4,star8,vertical
Anisotropy_norm,0.007710665017655922,0.0015917058735788474,0.0012300525231866506,0.005233864939051765,0.09290616008462843,0.022879187115107134,0.03888810810393956,0.028617504817661635,0.01676671324424739,0.10618126142797245
BandEnergyDiagonal_norm,0.027265045442211745,0.008782107200565098,0.006918179126644605,0.012912330569221284,0.02839500135179199,0.016174298638802077,0.016738649012458546,0.008064109417906194,0.00881732190890966,0.03167272718785856
BandEnergyHorizontal_norm,0.016692257206363637,0.01165740008578857,0.007491261973854886,0.010729250537295431,0.01064694263535606,0.017866133588299034,0.009657813670078317,0.01132349493638756,0.010335492908795362,0.031716219617159404
BandEnergyVertical_norm,0.014992067881041758,0.011925158512313436,0.007433981212221047,0.010083738833244331,0.02856426143945374,0.015248644750964529,0.009291125744910334,0.00806162652015335,0.014267974863147955,0.012618491969770478
DC_norm,0.015032881111258254,0.007056872904120379,0.0047547579840791915,0.007478454598194337,0.011209110736383707,0.014362613270218837,0.014371149796064362,0.01793160519104274,0.01378238666409896,0.01288564635303561
EnergyKlargest_norm,0.024910280517664942,0.008954330767780442,0.007966128553397107,0.013309195954505998,0.02842104824675709,0.012038651273055605,0.016052781233345664,0.008098349270573148,0.017190210350841218,0.03170836015591011
EnergyRatio_norm,0.0053441118264692545,0.03117780931079733,0.04964879855383736,0.1377673984473525,0.23257548876611514,0.06180014888628568,0.0007088591928296926,0.02340366664606655,0.002912006840808009,0.2086221326226661
Energy_norm,0.027398023710435267,0.008744497548517178,0.006913804657931276,0.012949200700906799,0.02831474632169823,0.016198000145200928,0.016710700271937377,0.00802648550116502,0.00823481727724009,0.03168232017959411
Entropy_norm,0.09318757069110627,0.01288813656942572,0.009384698378499265,0.020293694485147694,0.039641165530452965,0.06378337425271667,0.08624437292185692,0.025338458875937955,0.04432942939674542,0.049065971724360925
HighFreqEnergy_norm,0.17159200014146428,0.009832027764015672,0.01070064810916487,0.0026276772796983076,0.0003841306714959453,0.17872073985917425,0.021417145959302136,0.006509074136737295,0.013216995450001729,0.00040623006290988704
Kurtosis_norm,0.11423275121577478,0.011327973198734307,0.005218756080588616,0.019182936956405213,0.05167388081080608,0.06486469317544137,0.03275352971825099,0.022072615949573937,0.025762191406742286,0.058446013580621334
LowFreqEnergy_norm,0.014831226729421823,0.01247000296748381,0.007156001858682483,0.01011186628244031,0.010485663638626398,0.01446552851500946,0.005234809620532874,0.010321473878189517,0.016876103899449567,0.01251130755913247
Max_norm,0.12712242863377327,0.059154130100411435,0.049773630361819574,0.04031723352810597,0.1980523333311141,0.06701409477061256,0.10288924801394149,0.04055452036519858,0.03915376208579246,0.24878653627701824
Mean_norm,0.13457414453156846,0.09366635223168462,0.11538705837881516,0.13112942067083058,0.21930170727051423,0.07542721642506107,0.2153159749164144,0.01874158208804798,0.01753464724484377,0.24720185806334788
Median_norm,0.10791540973176196,0.08333772870147584,0.04568235056593441,0.03739812852638254,0.042031888516536,0.07448465900139947,0.0663758155481241,0.03188182453350875,0.061416093880528946,0.04566963454579706
Min_norm,0.015531849098685388,0.007402079623011283,0.0049136777144258275,0.007684279079916097,0.0114938677798852,0.014753523757380675,0.014852514341691212,0.018743225001631333,0.015568936216126757,0.013332957766805814
Peak_DC_norm,0.06313836281057478,0.008595225799011407,0.009436224937765133,0.015869474352939877,0.06268255792384501,0.03160739336685944,0.06410941300437879,0.022837544748910588,0.018305975756269317,0.05929657316436023
Peak_norm,0.1178803717902602,0.03027429995032074,0.03049484076088422,0.04606403632484336,0.1173563630409681,0.06141529848287874,0.05244271572280809,0.03142504731723012,0.03788605088723869,0.10765141202699904
SignatureEnergy_norm,0.008165223965700038,0.0040496734134016854,0.0060875097743921,0.011011179895039021,0.009991381704275442,0.012636369926470103,0.008509722755060537,0.06200387210409104,0.03848028244650001,0.0100189759870762
SignificantCount_norm,0.05658615337362302,0.013417420538726639,0.010371277924976335,0.017256326292158747,0.024909255598928554,0.056522451728557514,0.10194501734398215,0.05428846395727714,0.08183665021761692,0.025796856552126938
Skewness_norm,0.10411214493297552,0.007369831849595382,0.003255142693879719,0.012412452468323908,0.10823390948167118,0.04758102482205892,0.10164433023895034,0.02857997026668565,0.02220887819235204,0.13666958975960108
Smoothness_norm,0.010714330283350079,0.0006129237732223369,0.0007329437800240339,0.002332740307957648,0.011191722373030536,0.006648536048589372,0.0886422500242342,0.0010671927612059045,0.001397181196718146,0.011112450406347233
Std_norm,0.02701995083148993,0.0055185783979402134,0.004961430209859254,0.010580705121267955,0.028065288954365313,0.016139826394452515,0.031083076934776424,0.0062361536886045505,0.006595794413049554,0.03036169717416031
Variance_norm,0.02739903949087959,0.008709233327573174,0.0069105323054718506,0.012958139283777674,0.028333511377737458,0.016122583415630033,0.016714771538855436,0.008033001976202207,0.008338290528932235,0.03165066405959695
ZigzagEnergy15_norm,0.014853526602555041,0.012503082561036405,0.007167173601641543,0.010231289461473095,0.010487484194515041,0.014538383455478565,0.005249055090618358,0.009886401631251585,0.01621108097522249,0.012534354596082865